country,year,value
USA,1980,15.2
USA,1981,15.3
USA,1982,15.1
USA,1983,15.4
USA,1984,15.5
USA,1985,15.6
USA,1986,15.7
USA,1987,15.8
USA,1988,15.9
USA,1989,16.0
USA,1990,16.1
USA,1991,16.2
USA,1992,16.3
USA,1993,16.4
USA,1994,16.5
USA,1995,16.6
USA,1996,16.7
USA,1997,16.8
USA,1998,16.9
USA,1999,17.0
USA,2000,17.1
USA,2001,17.2
USA,2002,17.3
USA,2003,17.4
USA,2004,17.5
USA,2005,17.6
USA,2006,17.7
USA,2007,17.8
USA,2008,17.9
USA,2009,18.0
USA,2010,18.1
USA,2011,18.2
USA,2012,18.3
USA,2013,18.4
USA,2014,18.5
USA,2015,18.6
USA,2016,18.7
USA,2017,18.8
USA,2018,18.9
USA,2019,19.0
USA,2020,19.1
USA,2021,19.2
USA,2022,19.3
USA,2023,19.4
China,1980,14.0
China,1981,14.1
China,1982,14.2
China,1983,14.3
China,1984,14.4
China,1985,14.5
China,1986,14.6
China,1987,14.7
China,1988,14.8
China,1989,14.9
China,1990,15.0
China,1991,15.1
China,1992,15.2
China,1993,15.3
China,1994,15.4
China,1995,15.5
China,1996,15.6
China,1997,15.7
China,1998,15.8
China,1999,15.9
China,2000,16.0
China,2001,16.1
China,2002,16.2
China,2003,16.3
China,2004,16.4
China,2005,16.5
China,2006,16.6
China,2007,16.7
China,2008,16.8
China,2009,16.9
China,2010,17.0
China,2011,17.1
China,2012,17.2
China,2013,17.3
China,2014,17.4
China,2015,17.5
China,2016,17.6
China,2017,17.7
China,2018,17.8
China,2019,17.9
China,2020,18.0
China,2021,18.1
China,2022,18.2
China,2023,18.3
India,1980,14.5
India,1981,14.6
India,1982,14.7
India,1983,14.8
India,1984,14.9
India,1985,15.0
India,1986,15.1
India,1987,15.2
India,1988,15.3
India,1989,15.4
India,1990,15.5
India,1991,15.6
India,1992,15.7
India,1993,15.8
India,1994,15.9
India,1995,16.0
India,1996,16.1
India,1997,16.2
India,1998,16.3
India,1999,16.4
India,2000,16.5
India,2001,16.6
India,2002,16.7
India,2003,16.8
India,2004,16.9
India,2005,17.0
India,2006,17.1
India,2007,17.2
India,2008,17.3
India,2009,17.4
India,2010,17.5
India,2011,17.6
India,2012,17.7
India,2013,17.8
India,2014,17.9
India,2015,18.0
India,2016,18.1
India,2017,18.2
India,2018,18.3
India,2019,18.4
India,2020,18.5
India,2021,18.6
India,2022,18.7
India,2023,18.8
UK,1980,13.0
UK,1981,13.1
UK,1982,13.2
UK,1983,13.3
UK,1984,13.4
UK,1985,13.5
UK,1986,13.6
UK,1987,13.7
UK,1988,13.8
UK,1989,13.9
UK,1990,14.0
UK,1991,14.1
UK,1992,14.2
UK,1993,14.3
UK,1994,14.4
UK,1995,14.5
UK,1996,14.6
UK,1997,14.7
UK,1998,14.8
UK,1999,14.9
UK,2000,15.0
UK,2001,15.1
UK,2002,15.2
UK,2003,15.3
UK,2004,15.4
UK,2005,15.5
UK,2006,15.6
UK,2007,15.7
UK,2008,15.8
UK,2009,15.9
UK,2010,16.0
UK,2011,16.1
UK,2012,16.2
UK,2013,16.3
UK,2014,16.4
UK,2015,16.5
UK,2016,16.6
UK,2017,16.7
UK,2018,16.8
UK,2019,16.9
UK,2020,17.0
UK,2021,17.1
UK,2022,17.2
UK,2023,17.3
